Best parameters set found on development set:
0.66503 (+/-0.019) for {'max_depth': 6, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 30, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.023) for {'max_features': 4, 'min_samples_leaf': 18, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 20, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 33, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 37, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 49, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 49, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 50, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 51, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 52, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.015) for {'max_features': 4, 'min_samples_leaf': 53, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 62, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 63, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.023) for {'max_features': 4, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.016) for {'max_features': 5, 'min_samples_leaf': 29, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 5, 'min_samples_leaf': 32, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 5, 'min_samples_leaf': 35, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.020) for {'max_features': 5, 'min_samples_leaf': 49, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.024) for {'max_features': 5, 'min_samples_leaf': 55, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.024) for {'max_features': 5, 'min_samples_leaf': 56, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.023) for {'max_features': 5, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 6, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 6, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.019) for {'max_features': 6, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.020) for {'max_features': 6, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.019) for {'max_features': 6, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.024) for {'max_features': 7, 'min_samples_leaf': 19, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 42, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.017) for {'max_features': 7, 'min_samples_leaf': 44, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.017) for {'max_features': 8, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.020) for {'max_features': 8, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.020) for {'max_features': 9, 'min_samples_leaf': 53, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.019) for {'max_features': 9, 'min_samples_leaf': 55, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.016) for {'max_features': 9, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.018) for {'max_features': 9, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
0.66479 (+/-0.018) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66479 (+/-0.020) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.66479 (+/-0.020) for {'max_depth': 5, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
