home_team,away_team,home_score,away_score,week,home_spread,home_pass_completions,home_pass_attempts,home_passing_touchdowns,home_interceptions_thrown,home_net_passing_yards,home_total_yards,home_elo,away_pass_completions,away_pass_attempts,away_passing_touchdowns,away_interceptions_thrown,away_net_passing_yards,away_total_yards,away_elo
Falcons,Panthers,40,20,14,-3.5,20,34,2,0,302,461,1411.7223170727195,28,41,1,2,245,345,1460.2234447279875
Buccaneers,Colts,38,35,14,-3,35,49,4,3,467,542,1471.6552746626428,19,36,2,0,243,309,1473.4652056452665
Jets,Dolphins,22,21,14,-5,20,36,2,1,262,374,1389.7906808234263,21,37,0,1,240,362,1362.558716302322
Saints,49ers,46,48,14,-1.5,29,41,5,0,349,465,1666.9265868744906,27,36,5,1,354,516,1603.5001840721513
Vikings,Lions,20,7,14,-12,24,30,1,0,234,354,1581.2437851340908,24,40,1,2,161,231,1380.962309952769
Texans,Broncos,24,38,14,-7.5,28,50,1,2,280,414,1601.2859721378934,22,27,3,1,301,391,1459.726945451208
Bills,Ravens,17,24,14,6,17,39,1,0,105,209,1547.8188046542398,16,25,3,1,139,257,1663.7047601352872
Browns,Bengals,27,19,14,-6.5,11,24,0,2,187,333,1492.2514859701632,23,39,0,1,272,451,1331.9251805653544
Packers,Redskins,20,15,14,-13.5,18,28,1,0,167,341,1607.444660617916,16,27,1,1,141,262,1386.4963756024645
Jaguars,Chargers,10,45,14,3.5,25,38,1,0,164,252,1410.107768545833,19,27,4,0,330,525,1458.9342157883566
Cardinals,Steelers,17,23,14,2,20,30,2,3,165,236,1368.6439115944638,16,19,1,0,135,275,1562.7479794166857
Raiders,Titans,21,42,14,3,25,34,2,0,259,356,1455.7735885674183,21,27,3,1,391,552,1535.089202155626
Patriots,Chiefs,16,23,14,-3,20,37,1,1,184,278,1652.0918985235135,26,40,1,1,271,346,1601.265017363165
Rams,Seahawks,28,12,14,-1,22,32,2,2,293,455,1561.418350785706,22,36,0,1,202,308,1656.0406464757998
Eagles,Giants,23,17,14,-9,33,50,2,0,300,418,1484.5123188990697,15,30,2,0,182,255,1339.3669908880454
Ravens,Jets,42,21,15,-17,15,24,5,0,212,430,1677.948977428494,18,32,2,1,207,310,1409.148065415275
Panthers,Seahawks,24,30,15,6,25,42,1,3,269,414,1436.310793439524,20,27,2,1,274,428,1629.4587335004271
Redskins,Eagles,27,37,15,6.5,19,28,2,0,251,352,1377.3010846134498,30,43,3,0,258,415,1497.2164111630043
Titans,Texans,21,24,15,-3,22,37,2,1,269,432,1551.3767214879165,19,27,2,2,234,374,1572.173744814037
Giants,Dolphins,36,20,15,-3.5,21,29,2,3,274,412,1326.6628986241108,23,41,2,0,262,384,1343.2013317104734
Chiefs,Broncos,23,3,15,-9,27,34,2,1,327,419,1625.3154096475541,18,40,0,1,199,251,1488.8391727750643
Bengals,Patriots,13,34,15,10.5,17,31,1,4,151,315,1319.981857111614,15,29,2,0,116,291,1628.0415062391244
Lions,Buccaneers,17,38,15,6,24,43,0,2,250,295,1370.8840973996878,28,42,4,1,446,495,1492.7646710756735
Packers,Bears,21,13,15,-4.5,16,33,1,0,192,292,1616.6399516069307,29,53,1,2,319,415,1541.5283886789937
Raiders,Jaguars,16,20,15,-7,22,36,1,0,236,364,1439.4860692351278,17,29,2,0,185,262,1392.0397023075343
