Best parameters set found on development set:
-0.21289 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
-0.21289 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21289 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
-0.21289 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
-0.21290 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
-0.21290 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21290 (+/-0.009) for {'max_features': 6, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
-0.21290 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42}
-0.21290 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
-0.21290 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
-0.21290 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
-0.21290 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
-0.21290 (+/-0.008) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21290 (+/-0.011) for {'max_features': 11, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21290 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
