Best parameters set found on development set:
-0.22252 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22252 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 18, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22252 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 12, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22252 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 22, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22253 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22253 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22253 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22253 (+/-0.012) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22253 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22253 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 5, 'classification__n_neighbors': 63, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22254 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 12, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22254 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 21, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22254 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 29, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22254 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22254 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22254 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 29, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22254 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22254 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 63, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22254 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22254 (+/-0.009) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22254 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22254 (+/-0.012) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22255 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 12, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22255 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22255 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 12, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22256 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22256 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 18, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22256 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22256 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22256 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22256 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22256 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22256 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 59, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22256 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22257 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 8, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22257 (+/-0.009) for {'classification__algorithm': 'auto', 'classification__leaf_size': 18, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22257 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 26, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22257 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 26, 'classification__n_neighbors': 59, 'classification__p': 1, 'classification__weights': 'uniform'}
