Best parameters set found on development set:
0.64913 (+/-0.018) for {'classification__max_features': 3, 'classification__min_samples_split': 66, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.019) for {'classification__max_features': 1, 'classification__min_samples_leaf': 10, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.015) for {'classification__max_features': 1, 'classification__min_samples_leaf': 28, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.017) for {'classification__max_features': 2, 'classification__min_samples_leaf': 35, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.018) for {'classification__max_features': 2, 'classification__min_samples_leaf': 37, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.020) for {'classification__max_features': 2, 'classification__min_samples_leaf': 44, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.012) for {'classification__max_features': 2, 'classification__min_samples_leaf': 65, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.019) for {'classification__max_features': 2, 'classification__min_samples_leaf': 79, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.020) for {'classification__max_features': 3, 'classification__min_samples_leaf': 29, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.027) for {'classification__max_features': 3, 'classification__min_samples_leaf': 43, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.017) for {'classification__max_features': 3, 'classification__min_samples_leaf': 47, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.025) for {'classification__max_features': 3, 'classification__min_samples_leaf': 52, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.022) for {'classification__max_features': 3, 'classification__min_samples_leaf': 59, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.021) for {'classification__max_features': 3, 'classification__min_samples_leaf': 81, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.020) for {'classification__max_features': 3, 'classification__min_samples_leaf': 85, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.019) for {'classification__max_features': 3, 'classification__min_samples_leaf': 87, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.018) for {'classification__max_features': 3, 'classification__min_samples_leaf': 90, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.018) for {'classification__max_features': 4, 'classification__min_samples_leaf': 32, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.021) for {'classification__max_features': 4, 'classification__min_samples_leaf': 73, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.022) for {'classification__max_features': 4, 'classification__min_samples_leaf': 78, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.028) for {'classification__max_features': 4, 'classification__min_samples_leaf': 89, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.020) for {'classification__max_features': 4, 'classification__min_samples_leaf': 90, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.032) for {'classification__max_features': 5, 'classification__min_samples_leaf': 78, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.024) for {'classification__max_features': 5, 'classification__min_samples_leaf': 94, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.031) for {'classification__max_features': 6, 'classification__min_samples_leaf': 49, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.028) for {'classification__max_features': 6, 'classification__min_samples_leaf': 89, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.020) for {'classification__max_features': 6, 'classification__min_samples_leaf': 91, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64891 (+/-0.028) for {'classification__max_depth': 1, 'classification__max_features': 5, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64891 (+/-0.020) for {'classification__max_depth': 5, 'classification__max_features': 2, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64891 (+/-0.021) for {'classification__max_depth': 5, 'classification__max_features': 4, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64891 (+/-0.016) for {'classification__max_depth': 6, 'classification__max_features': 3, 'classification__n_estimators': 1000, 'classification__random_state': 42}
