Best parameters set found on development set:
0.72955 (+/-0.018) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.72603 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42} probability 0.004
0.72603 (+/-0.011) for {'max_depth': 5, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72602 (+/-0.022) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42} probability 0.159
0.72601 (+/-0.018) for {'max_features': 1, 'min_samples_split': 70, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72601 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 44, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72599 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72597 (+/-0.023) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42} probability 0.007
0.72596 (+/-0.015) for {'max_features': 4, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72595 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72594 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72594 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 46, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72593 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72593 (+/-0.021) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72593 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72593 (+/-0.023) for {'max_features': 3, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42} probability 0.005
0.72593 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72590 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72590 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72588 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72587 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72587 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 37, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72586 (+/-0.015) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72584 (+/-0.015) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42} probability 0.000
