Best parameters set found on development set:
0.66072 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.015) for {'max_features': 4, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.015) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.015) for {'max_depth': 5, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.018) for {'max_depth': 6, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.018) for {'max_depth': 7, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.010) for {'max_features': 1, 'min_samples_leaf': 27, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 20, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 26, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 27, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 30, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 31, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 32, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 34, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 52, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 43, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 56, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
0.66050 (+/-0.013) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
0.66050 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.014) for {'max_depth': 5, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.017) for {'max_depth': 10, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.010) for {'max_features': 2, 'min_samples_split': 88, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.013) for {'max_features': 1, 'min_samples_leaf': 25, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.009) for {'max_features': 2, 'min_samples_leaf': 14, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 27, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 38, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 66, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.008) for {'max_features': 2, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
0.66028 (+/-0.015) for {'max_features': 4, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
0.66028 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
0.66006 (+/-0.009) for {'max_depth': 1, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.013) for {'max_depth': 1, 'max_features': 8, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.013) for {'max_depth': 1, 'max_features': 8, 'n_estimators': 1000, 'random_state': 42}
0.66006 (+/-0.010) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.017) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.66006 (+/-0.012) for {'max_features': 2, 'min_samples_split': 71, 'n_estimators': 1000, 'random_state': 42}
0.66006 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 9, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.011) for {'max_features': 1, 'min_samples_leaf': 12, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.008) for {'max_features': 1, 'min_samples_leaf': 13, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 28, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 32, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 22, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 25, 'n_estimators': 1000, 'random_state': 42}
0.66006 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 33, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
0.66006 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
0.66006 (+/-0.009) for {'max_features': 2, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
